id,category,input,reference,prediction,cer,wer,bleu,exact_match,time_s
1,colloquial,api heta gedara yanawa,අපි හෙට ගෙදර යනවා,අපි හෙට ගෙදර යනවා,0.0,0.0,1.0,True,2.423
2,colloquial,mama dan inne office eke,මම දැන් ඉන්නේ office එකේ,මම දනේ ඉන්නේ office එකේ,0.0833,0.2,0.8,False,3.283
3,code_mixed,mage assignment eka submit kala,මගේ assignment එක submit කළා,මගේ assignment එක submit කළා,0.0,0.0,1.0,True,5.979
4,code_mixed,api meeting eka cancel kala,අපි meeting එක cancel කළා,අපි meeting එක cancel කළා,0.0,0.0,1.0,True,3.156
5,formal,obage upakarayata apage wishesha sthuthiya.,ඔබගේ උපකාරයට අපගේ විශේෂ ස්තූතිය.,ඔබගේ උපකාරයට අපගේ විශේෂ ස්තුතිය.,0.0312,0.2,0.8,False,3.776
6,long_sentence,mema videowe bit rate eka godak wadi nisa buffer wenawa,මෙම වීඩියෝවේ bit rate එක ගොඩක් වැඩි නිසා buffer වෙනවා,මේම විඩෙඔවේ bit rate එක ගොඩක් වැඩි නිසා buffer වෙනවා,0.0943,0.2,0.8,False,7.104
7,short_phrase,honda naa,හොඳ නෑ,honda ණා,1.1667,1.0,0.0,False,0.695
8,edge_case,api 3 dena passe yamu,අපි 3 දෙනා පස්සේ යමු,අපි 3 දෙන පස්සී යමු,0.1,0.4,0.6,False,1.997
9,colloquial,oya dan koheda yanne,ඔයා දැන් කොහේද යන්නේ,ඔයා දනේ කොහෙද යන්නේ,0.15,0.5,0.5,False,2.328
10,colloquial,mata ada godak wada thiyenawa,මට අද ගොඩක් වැඩ තියෙනවා,මට අද ගොඩක් වද තියෙනවා,0.087,0.2,0.8,False,3.195
11,colloquial,heta ude keeyatada enne,හෙට උදේ කීයටද එන්නේ,හෙට උදේ ඛීයටද එන්නේ,0.0526,0.25,0.75,False,2.364
12,colloquial,amma ada monawada kaama haduwe,අම්මා අද මොනවාද කෑම හැදුවේ,අඹ අදා මොනවදා කාම හඩුවේ,0.3846,1.0,0.0,False,2.999
13,colloquial,mata hariyata ninda giye na,මට හරියට නින්ද ගියේ නෑ,මට හරියට නිනද ගියෙ ණ,0.1818,0.6,0.4,False,2.91
14,colloquial,nikan boru kiyanna epa,නිකන් බොරු කියන්න එපා,නිකන බොරු කියන්න එපා,0.0476,0.25,0.75,False,2.334
15,colloquial,api passe welawaka katha karamu,අපි පස්සේ වෙලාවක කතා කරමු,අපි පස්සී වීලාවක කතා කරමු,0.08,0.4,0.6,False,2.847
16,colloquial,eka dakkama mata baya hithuna,ඒක දැක්කම මට බය හිතුණා,ඒක දැක්කම මට බය හිතුනා,0.0455,0.2,0.8,False,2.84
17,colloquial,mama ada game giya,මම අද ගමේ ගියා,මම අද ගමේ ගියා,0.0,0.0,1.0,True,1.66
18,colloquial,oya thama kewe nadda,ඔයා තාම කෑවේ නැද්ද,ඕය ථම කීවී නදද,0.4444,1.0,0.0,False,1.762
19,colloquial,api dennath ekka heta yamu,අපි දෙන්නත් එක්ක හෙට යමු,අපි දෙන්නත් එක්ක හේට යාමු,0.0833,0.4,0.6,False,3.338
20,colloquial,dan nikan inna epa wada karanna,දැන් නිකන් ඉන්න එපා වැඩ කරන්න,දනේ නිකන් ඉන්න එපා වාද කරන්න,0.1379,0.3333,0.6667,False,3.018
21,colloquial,thama bus eka awe na,තාම බස් එක ආවේ නෑ,ථම බූස් එක අවී ණ,0.4118,0.8,0.2,False,2.103
22,colloquial,wathura nathiwa inna ba,වතුර නැතිව ඉන්න බෑ,වතුර නැතිව ඉන්න බෑ,0.0,0.0,1.0,True,1.984
23,colloquial,dan hariyata mahansi wage,දැන් හරියට මහන්සි වගේ,දනා හාරියට මහනසි වගී,0.2381,1.0,0.0,False,2.319
24,colloquial,ai oya ehema kale,ඇයි ඔයා එහෙම කළේ,යි ඔයා එහෙම කළේ,0.0625,0.25,0.75,False,1.647
25,colloquial,mata oya gana tharahak na,මට ඔයා ගැන තරහක් නෑ,මට ඔයා ගන තරහක ණ,0.2105,0.6,0.4,False,2.421
26,colloquial,oya thawa kaama ganna,ඔයා තව කෑම ගන්න,ඕය ථව කම ගණනා,0.4667,1.0,0.0,False,1.719
27,colloquial,me pota kiyawala balanna,මේ පොත කියවලා බලන්න,මේ පෝට කියවලා බලන්න,0.1053,0.25,0.75,False,2.451
28,colloquial,thaththa dan gedara awada,තාත්තා දැන් ගෙදර ආවාද,තත්තා දනේ ගෙදර ආවාද,0.1429,0.5,0.5,False,2.141
29,colloquial,api moko karanne dan,අපි මොකෝ කරන්නේ දැන්,අපි මොකෝ කරන්නේ දනේ,0.1,0.25,0.75,False,2.35
30,colloquial,poddak inna mama enakan,පොඩ්ඩක් ඉන්න මම එනකන්,පොඩ්ඩක් ඉන්න මම ඇණකන,0.1429,0.25,0.75,False,2.675
31,colloquial,dan moko hithenne,දැන් මොකෝ හිතෙන්නේ,දනේ මෝකෝ හිතෙන්නී,0.2222,1.0,0.0,False,2.269
32,colloquial,hama dama ekama kaama,හැමදාම එකම කෑම,හාම දම එකාම කාම,0.3571,1.3333,0.0,False,1.672
33,colloquial,malli ada school giya,මල්ලි අද school ගියා,මලාලි අද school ගියා,0.05,0.25,0.75,False,2.27
34,colloquial,oya dan moko karanne,ඔයා දැන් මොකෝ කරන්නේ,ඔයා දනේ මොකෝ කරන්නේ,0.1,0.25,0.75,False,2.363
35,colloquial,me paara mara rasnei,මේ පාර මාර රස්නෙයි,මේ පාර මාර රස්නෙි,0.0556,0.25,0.75,False,2.388
36,colloquial,oya dan mawa rawattuwa,ඔයා දැන් මාව රැවැට්ටුවා,ඕයා දනා මවාා රවට්ටුවා,0.3043,1.0,0.0,False,3.068
37,colloquial,e gana hithanna epa,ඒ ගැන හිතන්න එපා,ඒ ගන හිතන්න එපා,0.0625,0.25,0.75,False,2.667
38,colloquial,dan nam godak rathri wela,දැන් නම් ගොඩක් රාත්‍රී වෙලා,දන නමේ ගොඩක රත්‍රි වේල,0.2963,1.0,0.0,False,2.913
39,colloquial,heta ude wenakan inna,හෙට උදේ වෙනකන් ඉන්න,හෙට උදේ වෙනකනේ ඉන්න,0.0526,0.25,0.75,False,2.589
40,colloquial,oya hariyata katha karanna,ඔයා හරියට කතා කරන්න,ඔයා හරියාට කතා කරන්න,0.0526,0.25,0.75,False,2.538
41,colloquial,mata nam eka epa wuna,මට නම් ඒක එපා වුණා,මට නම් ඒක එපා වුණා,0.0,0.0,1.0,True,2.197
42,colloquial,poddi kiyatada enne,පොඩ්ඩී කීයටද එන්නේ,පොඩ්ඩි කියටද එන්නේ,0.1111,0.6667,0.3333,False,2.203
43,colloquial,oya ada gedarada inne,ඔයා අද ගෙදරද ඉන්නේ,ඔයා අද ගෙදරද ඉන්නේ,0.0,0.0,1.0,True,2.759
44,colloquial,meka hariyata karanna balanna,මේක හරියට කරන්න බලන්න,මේක හරියටා කරන්න බලන්න,0.0476,0.25,0.75,False,2.445
45,colloquial,mata nam mara badagini dan,මට නම් මාර බඩගිනියි දැන්,මට නම් මාර බදාගිනි දනේ,0.25,0.4,0.6,False,3.467
46,colloquial,oya kiyana de mata therenne na,ඔයා කියන දේ මට තේරෙන්නේ නෑ,ඔයා කියන දේ මට තේරෙන්නෙ ණ,0.1154,0.3333,0.6667,False,4.682
47,colloquial,ada ude hariyata wassa,අද උදේ හරියට වැස්සා,අද උදේ හරියට වසෙස,0.1579,0.25,0.75,False,2.495
48,colloquial,mama dan kade yanawa,මම දැන් කඩේ යනවා,මම දනේ කඩේ යනවා,0.125,0.25,0.75,False,1.843
49,colloquial,api eka parak yamu balanna,අපි එක පාරක් යමු බලන්න,අපි එක පාරක යමු බලන්න,0.0455,0.2,0.8,False,3.033
50,colloquial,kauruwath awe na thama,කවුරුවත් ආවේ නෑ තාම,කුරුවත් අවේ ණ ථම,0.3158,1.0,0.0,False,2.856
51,colloquial,hondata kaala nidaganna,හොඳට කාලා නිදාගන්න,හොඬට කාල නිදගන්න,0.1667,1.0,0.0,False,2.431
52,colloquial,dan nam wada wadi,දැන් නම් වැඩ වැඩියි,දනා නමා වදා වදි,0.4737,1.0,0.0,False,1.739
53,colloquial,oya moko kiyanne e gana,ඔයා මොකෝ කියන්නේ ඒ ගැන,ඔයා මෝකෝ කියන්නේ ඒ ගන,0.0909,0.4,0.6,False,3.337
54,colloquial,dan eliyata yanna epa,දැන් එළියට යන්න එපා,දන ඇලියට යන්න එපා,0.2105,0.5,0.5,False,2.385
55,colloquial,mata sathutuwen inna one,මට සතුටුවෙන් ඉන්න ඕනේ,මට සතුටුවෙන් ඉන්න ඕනේ,0.0,0.0,1.0,True,3.403
56,colloquial,moko oya bayawela wage,මොකෝ ඔයා බයවෙලා වගේ,මෝකෝ ඔයා බයවේල වගේ,0.1579,0.5,0.5,False,2.197
57,colloquial,api thawa tikakin katha karamu,අපි තව ටිකකින් කතා කරමු,අපි තව ටිකකින් කතා කරමු,0.0,0.0,1.0,True,3.384
58,colloquial,oya ada kiyatada yanne,ඔයා අද කීයටද යන්නේ,ඔයා අදා කියාටද යන්නේ,0.1667,0.5,0.5,False,2.43
59,colloquial,mama loku deyak kale na,මම ලොකු දෙයක් කළේ නෑ,මම ලොකු දෙයක් කළේ ණ,0.1,0.2,0.8,False,2.522
60,colloquial,poddak udaw karanna puluwanda,පොඩ්ඩක් උදව් කරන්න පුළුවන්ද,පොඩ්ඩක උදව් කරන්න පුළුවන්ද,0.037,0.25,0.75,False,3.081
61,colloquial,heta ude game yanna one,හෙට උදේ ගමේ යන්න ඕනේ,හෙට උදේ ගමේ යන්න ඕනේ,0.0,0.0,1.0,True,2.211
62,colloquial,me dawas wala hariyata rathne,මේ දවස් වල හරියට රත්නේ,මේ දවසෙ වාල හරියට රතනෙ,0.1818,0.6,0.4,False,3.009
63,colloquial,mata oya gana mara dukai,මට ඔයා ගැන මාර දුකයි,මට ඔයා ගන මාර දුකයි,0.05,0.2,0.8,False,2.7
64,colloquial,moko mechchara tharaha gihin,මොකෝ මෙච්චර තරහ ගිහින්,මෝකෝ මේච්චර තරහ ගිහින්,0.0909,0.5,0.5,False,2.523
65,colloquial,api hita hita inna epa,අපි හිත හිත ඉන්න එපා,අපි හිටා හිටා ඉන්න එපා,0.2,0.4,0.6,False,2.17
66,colloquial,oya ada kohedo hitiye,ඔයා අද කොහේද හිටියේ,ඔයා අද කොහේදො හිටියී,0.1053,0.5,0.5,False,2.508
67,colloquial,me de karanna ba kiyanna epa,මේ දේ කරන්න බෑ කියන්න එපා,මේ දේ කරන්න බෑ කියන්න එපා,0.0,0.0,1.0,True,3.528
68,colloquial,oya dan hariyata wenas wela,ඔයා දැන් හරියට වෙනස් වෙලා,ඕය දනේ හරියටා වැනසී වේල,0.36,1.0,0.0,False,2.971
69,colloquial,api heta canteen ekedi hamuwemu,අපි හෙට canteen එකේදී හමුවෙමු,අපි හෙට කන්ටීන ඒකේදි හමුවෙමු,0.3103,0.4,0.6,False,3.35
70,colloquial,kaama thama lipe thiyenne,කෑම තාම ලිපේ තියෙන්නේ,කඅම තමා ලිපේ තියෙන්නේ,0.1429,0.5,0.5,False,2.987
71,colloquial,oya mawa dakke nadda,ඔයා මාව දැක්කේ නැද්ද,ඔයා මාව දැක්කේ නදද,0.1,0.25,0.75,False,2.328
72,colloquial,me parashne wisadanna balamu,මේ ප්‍රශ්නේ විසඳන්න බලමු,මේ පරශ්නේ විසදන්න බලමු,0.125,0.5,0.5,False,2.984
73,colloquial,mama heta kiyatath yannam,මම හෙට කීයටත් යන්නම්,මම හෙට කියාටත යන්නම්,0.15,0.25,0.75,False,2.396
74,colloquial,mata ada tikak amaru wage,මට අද ටිකක් අමාරු වගේ,මට අද ටිකක් අමාරු වගේ,0.0,0.0,1.0,True,2.454
75,colloquial,dan kauruwath gedara na,දැන් කවුරුවත් ගෙදර නෑ,දන කූරුවත් ගෙදාර ණ,0.3333,1.0,0.0,False,2.696
76,colloquial,mama heta ude ennamko,මම හෙට උදේ එන්නම්කෝ,මම හෙට උදේ එන්නම්කෝ,0.0,0.0,1.0,True,3.043
77,colloquial,oya kiyana eka boru,ඔයා කියන එක බොරු,ඔයා කියන එක බොරු,0.0,0.0,1.0,True,2.052
78,colloquial,mata nikan ninda yanawa dan,මට නිකන් නින්ද යනවා දැන්,මට නිකාන නිනද යනව දනේ,0.25,0.8,0.2,False,2.484
79,colloquial,thawa deyak kiyanna one,තව දෙයක් කියන්න ඕනේ,තව දෙයක් කියන්න ඕනේ,0.0,0.0,1.0,True,2.315
80,colloquial,moko oya thama awe natthe,මොකෝ ඔයා තාම ආවේ නැත්තේ,මෝකෝ ඔයා තාම අවේ නටතෙ,0.2609,0.6,0.4,False,2.5
81,colloquial,mama ada library gihin awa,මම අද library ගිහින් ආවා,මම අද library ගිහින් ආවා,0.0,0.0,1.0,True,3.16
82,colloquial,poddak methanata enna,පොඩ්ඩක් මෙතනට එන්න,පොඩ්ඩක් මෙතනට එන්න,0.0,0.0,1.0,True,2.103
83,colloquial,dan oya moko kiyanne,දැන් ඔයා මොකෝ කියන්නේ,දනේ ඔයා මොකෝ කියන්නේ,0.0952,0.25,0.75,False,2.742
84,colloquial,mata moko une kiyala therenne na,මට මොකෝ වුණේ කියලා තේරෙන්නේ නෑ,මට මොකඔ උණේ කියලා තේරෙන්නැ ණ,0.2,0.6667,0.3333,False,4.413
85,colloquial,poddak inna kiyala kiyanna,පොඩ්ඩක් ඉන්න කියලා කියන්න,පොඩ්ඩක් ඉන්න කියලා කියන්න,0.0,0.0,1.0,True,2.705
86,colloquial,oya mawa amataka kala neda,ඔයා මාව අමතක කළා නේද,ඔයා මාව අමටක කළා නේද,0.05,0.2,0.8,False,2.44
